"Name","dataset","noise","model","seed_group","noise_p","noise_r","test/accuracy","test/rre","test/nmi"
"divine-sweep-109","orl","salt_and_pepper","l1_robust","25220caf5c9ce6973c76008a2cf3974a50394d153308acd5a4431432d00a2cee","0.2","0","0.7027777777777777","0.19290375620584463","0.8412647677632328"
"breezy-sweep-108","orl","salt_and_pepper","l1_robust","25220caf5c9ce6973c76008a2cf3974a50394d153308acd5a4431432d00a2cee","0.2","0","0.7111111111111111","0.1917383385762741","0.8394768055066106"
"golden-sweep-107","orl","salt_and_pepper","l1_robust","25220caf5c9ce6973c76008a2cf3974a50394d153308acd5a4431432d00a2cee","0.2","0","0.7083333333333334","0.19274838648272188","0.845613526174797"
"wise-sweep-106","orl","salt_and_pepper","l1_robust","25220caf5c9ce6973c76008a2cf3974a50394d153308acd5a4431432d00a2cee","0.2","0","0.7222222222222222","0.19514527109228785","0.836570925451275"
"faithful-sweep-105","orl","salt_and_pepper","l1_robust","659700132ed91906b8c9405b2e00eb6b52df6251e705df6e8686cf7c51065427","0.1","1","0.7555555555555555","0.15968811136148683","0.8686413709332438"
"rose-sweep-104","orl","salt_and_pepper","l1_robust","659700132ed91906b8c9405b2e00eb6b52df6251e705df6e8686cf7c51065427","0.1","1","0.7472222222222222","0.1620360806474519","0.8671953662947024"
"divine-sweep-103","orl","salt_and_pepper","l1_robust","659700132ed91906b8c9405b2e00eb6b52df6251e705df6e8686cf7c51065427","0.1","1","0.7388888888888889","0.15896116167468277","0.8619319153352806"
"silvery-sweep-102","orl","salt_and_pepper","l1_robust","659700132ed91906b8c9405b2e00eb6b52df6251e705df6e8686cf7c51065427","0.1","1","0.7333333333333333","0.15940105654814604","0.8562936859476066"
"bright-sweep-101","orl","salt_and_pepper","l1_robust","659700132ed91906b8c9405b2e00eb6b52df6251e705df6e8686cf7c51065427","0.1","1","0.7277777777777777","0.16115834498269663","0.8413470213690332"
"super-sweep-100","orl","salt_and_pepper","l1_robust","3bd1e2ad8de9dda57026c9d3eb34c93800f587251558c09479aa1bdf92f4a81e","0.1","0.5","0.7305555555555555","0.151870673075188","0.8444232575930535"
"glad-sweep-99","orl","salt_and_pepper","l1_robust","3bd1e2ad8de9dda57026c9d3eb34c93800f587251558c09479aa1bdf92f4a81e","0.1","0.5","0.7611111111111111","0.1517310332223565","0.8640351287510307"
"curious-sweep-98","orl","salt_and_pepper","l1_robust","3bd1e2ad8de9dda57026c9d3eb34c93800f587251558c09479aa1bdf92f4a81e","0.1","0.5","0.7416666666666667","0.1516879624604339","0.8559815176203401"
"effortless-sweep-97","orl","salt_and_pepper","l1_robust","3bd1e2ad8de9dda57026c9d3eb34c93800f587251558c09479aa1bdf92f4a81e","0.1","0.5","0.6972222222222222","0.15160270719967311","0.8328534851365884"
"fiery-sweep-96","orl","salt_and_pepper","l1_robust","3bd1e2ad8de9dda57026c9d3eb34c93800f587251558c09479aa1bdf92f4a81e","0.1","0.5","0.725","0.15197142601787558","0.8516236100283999"
"misunderstood-sweep-95","orl","salt_and_pepper","l1_robust","1e17e3c34c573f622f219161c0bd429a840a020677d6c2c62121cfbcf5bc12eb","0.1","0","0.7083333333333334","0.15805223665511714","0.8445214741058811"
