"Name","dataset","noise","model","seed_group","noise_mean","noise_std","test/accuracy","test/rre","test/nmi"
"fluent-sweep-33","orl","gaussian","l21","cb6940bbe13ae274db918f285b7473cfd27003f8fcd724fc8f530cc572e19660","0","0.1","0.7027777777777777","0.1619991417547689","0.8346446908135359"
"vague-sweep-32","orl","gaussian","l21","cb6940bbe13ae274db918f285b7473cfd27003f8fcd724fc8f530cc572e19660","0","0.1","0.7527777777777778","0.16110388953701044","0.8624480012220576"
"vague-sweep-31","orl","gaussian","l21","cb6940bbe13ae274db918f285b7473cfd27003f8fcd724fc8f530cc572e19660","0","0.1","0.7194444444444444","0.16264307035491432","0.8445257714332998"
"worthy-sweep-15","orl","gaussian","standard","4043219da651757034862bb873962e27927a51bdb35acffaad653556fe9ecf59","0","0.4","0.3861111111111111","0.29821720118037487","0.5514538289305622"
"stellar-sweep-14","orl","gaussian","standard","4043219da651757034862bb873962e27927a51bdb35acffaad653556fe9ecf59","0","0.4","0.4027777777777778","0.2977124394319066","0.588688042382322"
"glorious-sweep-13","orl","gaussian","standard","4043219da651757034862bb873962e27927a51bdb35acffaad653556fe9ecf59","0","0.4","0.4222222222222222","0.2973582055433201","0.5887145419523515"
"royal-sweep-12","orl","gaussian","standard","4043219da651757034862bb873962e27927a51bdb35acffaad653556fe9ecf59","0","0.4","0.4305555555555556","0.29675705422868043","0.5925378892835057"
"exalted-sweep-11","orl","gaussian","standard","4043219da651757034862bb873962e27927a51bdb35acffaad653556fe9ecf59","0","0.4","0.3638888888888889","0.2995900577576146","0.55537987917065"
"fallen-sweep-10","orl","gaussian","standard","5207da7e8e52e4c901b6e72955451aa9a7dd32b95e8890334d8a08436998822f","0","0.2","0.7194444444444444","0.2035855958765455","0.8327650198704143"
"smart-sweep-9","orl","gaussian","standard","5207da7e8e52e4c901b6e72955451aa9a7dd32b95e8890334d8a08436998822f","0","0.2","0.6388888888888888","0.20565501049733928","0.7861306403318193"
"happy-sweep-8","orl","gaussian","standard","5207da7e8e52e4c901b6e72955451aa9a7dd32b95e8890334d8a08436998822f","0","0.2","0.6555555555555556","0.2030196021261582","0.7913034170961036"
"crisp-sweep-7","orl","gaussian","standard","5207da7e8e52e4c901b6e72955451aa9a7dd32b95e8890334d8a08436998822f","0","0.2","0.6472222222222223","0.20285306800117991","0.805727966174035"
"rose-sweep-6","orl","gaussian","standard","5207da7e8e52e4c901b6e72955451aa9a7dd32b95e8890334d8a08436998822f","0","0.2","0.6861111111111111","0.2041958283857127","0.799290496868668"
"dauntless-sweep-5","orl","gaussian","standard","e52594b60272b7008bb5d91f92b9f308be8484b96d8d1e4ea760f339013ab4e2","0","0.1","0.75","0.16213083788644245","0.8638234419741915"
"skilled-sweep-4","orl","gaussian","standard","e52594b60272b7008bb5d91f92b9f308be8484b96d8d1e4ea760f339013ab4e2","0","0.1","0.7861111111111111","0.16279706143724992","0.8817187733701117"
"super-sweep-3","orl","gaussian","standard","e52594b60272b7008bb5d91f92b9f308be8484b96d8d1e4ea760f339013ab4e2","0","0.1","0.7277777777777777","0.1617821970206028","0.8555793392904651"
"twilight-sweep-2","orl","gaussian","standard","e52594b60272b7008bb5d91f92b9f308be8484b96d8d1e4ea760f339013ab4e2","0","0.1","0.7472222222222222","0.1609373103888689","0.8496836135700571"
"magic-sweep-1","orl","gaussian","standard","e52594b60272b7008bb5d91f92b9f308be8484b96d8d1e4ea760f339013ab4e2","0","0.1","0.7305555555555555","0.16276227845837588","0.842897508833523"
