"Name","dataset","noise","model","seed_group","noise_mean","noise_std","test/accuracy","test/rre","test/nmi"
"lunar-sweep-180","yaleb","uniform","l1_robust","403bcc8728604357fe79fa65c200357bc175c42dc1dc2c3a3c91c56d9ae09b3f","0","0.4","0.13167587476979742","0.35630208383345563","0.14424117700553274"
"clean-sweep-179","yaleb","uniform","l1_robust","403bcc8728604357fe79fa65c200357bc175c42dc1dc2c3a3c91c56d9ae09b3f","0","0.4","0.12753222836095765","0.35601789875692047","0.1437225298436369"
"eager-sweep-178","yaleb","uniform","l1_robust","403bcc8728604357fe79fa65c200357bc175c42dc1dc2c3a3c91c56d9ae09b3f","0","0.4","0.1445672191528545","0.35525703156777994","0.17008026243319244"
"fragrant-sweep-177","yaleb","uniform","l1_robust","403bcc8728604357fe79fa65c200357bc175c42dc1dc2c3a3c91c56d9ae09b3f","0","0.4","0.1298342541436464","0.3570430827014489","0.140764090918784"
"royal-sweep-176","yaleb","uniform","l1_robust","403bcc8728604357fe79fa65c200357bc175c42dc1dc2c3a3c91c56d9ae09b3f","0","0.4","0.1358195211786372","0.3572373322570425","0.15873512861002245"
"jolly-sweep-175","yaleb","uniform","l1_robust","daa29596cb84455b05942e63864da1be18caf3dff50c6460b22f4497992d1997","0","0.2","0.18554327808471455","0.24020239029478935","0.20458055300004516"
"solar-sweep-174","yaleb","uniform","l1_robust","daa29596cb84455b05942e63864da1be18caf3dff50c6460b22f4497992d1997","0","0.2","0.18047882136279927","0.24028365181928524","0.21609695386713412"
"fiery-sweep-173","yaleb","uniform","l1_robust","daa29596cb84455b05942e63864da1be18caf3dff50c6460b22f4497992d1997","0","0.2","0.16482504604051565","0.2403672182965655","0.2037173666190324"
"woven-sweep-172","yaleb","uniform","l1_robust","daa29596cb84455b05942e63864da1be18caf3dff50c6460b22f4497992d1997","0","0.2","0.17679558011049723","0.2397517123244347","0.21799834706262375"
"sandy-sweep-171","yaleb","uniform","l1_robust","daa29596cb84455b05942e63864da1be18caf3dff50c6460b22f4497992d1997","0","0.2","0.19337016574585636","0.24072798616138888","0.24123630827280623"
"giddy-sweep-170","yaleb","uniform","l1_robust","47b1bf7829ca6796c0b6f5e5077249fc6196622792acab0a97bec56c3f0da4cf","0","0.1","0.19613259668508287","0.20258070312667825","0.22424713708418903"
"stellar-sweep-169","yaleb","uniform","l1_robust","47b1bf7829ca6796c0b6f5e5077249fc6196622792acab0a97bec56c3f0da4cf","0","0.1","0.17587476979742173","0.2002713775646765","0.20233825837754948"
"hearty-sweep-168","yaleb","uniform","l1_robust","47b1bf7829ca6796c0b6f5e5077249fc6196622792acab0a97bec56c3f0da4cf","0","0.1","0.17449355432780847","0.20339101395800951","0.22925209760884444"
"dark-sweep-167","yaleb","uniform","l1_robust","47b1bf7829ca6796c0b6f5e5077249fc6196622792acab0a97bec56c3f0da4cf","0","0.1","0.1850828729281768","0.20160502258765456","0.2222559237175551"
"woven-sweep-166","yaleb","uniform","l1_robust","47b1bf7829ca6796c0b6f5e5077249fc6196622792acab0a97bec56c3f0da4cf","0","0.1","0.20119705340699817","0.2014644297044728","0.2395550037490984"
