"Name","dataset","noise","model","seed_group","noise_blocks","noise_blocksize","test/accuracy","test/rre","test/nmi"
"cool-sweep-93","yaleb","missing_block","l21","9cb23d5ef3f4e3019a11a1f7446fa8f5012d12f253f13d2f6a34aec5c7675c7a","16","4","0.108195211786372","0.470178417536617","0.13551090781457864"
"neat-sweep-92","yaleb","missing_block","l21","9cb23d5ef3f4e3019a11a1f7446fa8f5012d12f253f13d2f6a34aec5c7675c7a","16","4","0.11740331491712708","0.46354525827380777","0.1290968870848717"
"fanciful-sweep-91","yaleb","missing_block","l21","9cb23d5ef3f4e3019a11a1f7446fa8f5012d12f253f13d2f6a34aec5c7675c7a","16","4","0.11924493554327809","0.46656769623219857","0.132712199714377"
"sandy-sweep-90","yaleb","missing_block","l21","9f039aaed6ca756da0bd50a90363666ab4359d9731581fd5dd12f8eba9148346","8","8","0.09622467771639044","0.8546717436947334","0.08999301864621968"
"trim-sweep-89","yaleb","missing_block","l21","9f039aaed6ca756da0bd50a90363666ab4359d9731581fd5dd12f8eba9148346","8","8","0.09760589318600368","0.8522507303936033","0.1030465515003801"
"peach-sweep-88","yaleb","missing_block","l21","9f039aaed6ca756da0bd50a90363666ab4359d9731581fd5dd12f8eba9148346","8","8","0.09668508287292818","0.8532920948427166","0.09526592724816169"
"drawn-sweep-87","yaleb","missing_block","l21","9f039aaed6ca756da0bd50a90363666ab4359d9731581fd5dd12f8eba9148346","8","8","0.09668508287292818","0.8507453988310226","0.09575691303727328"
"toasty-sweep-86","yaleb","missing_block","l21","9f039aaed6ca756da0bd50a90363666ab4359d9731581fd5dd12f8eba9148346","8","8","0.0943830570902394","0.8504877924503828","0.0983972947651176"
"glorious-sweep-85","yaleb","missing_block","l21","c07deb81c61537a648fdd4c1ad94e48a65c3ef20ac4628328e28964c98683cd8","8","4","0.1468692449355433","0.3444397721790118","0.15981632184407968"
"sleek-sweep-84","yaleb","missing_block","l21","c07deb81c61537a648fdd4c1ad94e48a65c3ef20ac4628328e28964c98683cd8","8","4","0.13443830570902393","0.34476605956535306","0.16731104534468078"
"youthful-sweep-83","yaleb","missing_block","l21","c07deb81c61537a648fdd4c1ad94e48a65c3ef20ac4628328e28964c98683cd8","8","4","0.1468692449355433","0.3507446054125572","0.17501731369119683"
