"Name","dataset","noise","model","seed_group","noise_p","noise_r","test/accuracy","test/rre","test/nmi"
"fiery-sweep-270","yaleb","salt_and_pepper","l1_robust","8d3e5e7a466b8bac84d2091c82eb9a2c6793196d9d1349b23b9869487f73873c","0.4","1","0.10267034990791896","0.5936951026442656","0.1259262178897738"
"vital-sweep-269","yaleb","salt_and_pepper","l1_robust","8d3e5e7a466b8bac84d2091c82eb9a2c6793196d9d1349b23b9869487f73873c","0.4","1","0.09990791896869244","0.5848108502284968","0.12337871766891094"
"morning-sweep-268","yaleb","salt_and_pepper","l1_robust","8d3e5e7a466b8bac84d2091c82eb9a2c6793196d9d1349b23b9869487f73873c","0.4","1","0.10865561694290976","0.5936604250397751","0.11588088110392772"
"restful-sweep-267","yaleb","salt_and_pepper","l1_robust","8d3e5e7a466b8bac84d2091c82eb9a2c6793196d9d1349b23b9869487f73873c","0.4","1","0.10543278084714548","0.5851041573014881","0.12244789030252066"
"vocal-sweep-266","yaleb","salt_and_pepper","l1_robust","8d3e5e7a466b8bac84d2091c82eb9a2c6793196d9d1349b23b9869487f73873c","0.4","1","0.11141804788213629","0.5881921081449197","0.12879030700456934"
"devout-sweep-265","yaleb","salt_and_pepper","l1_robust","2780b05d990610444b803189b9d02da895ee9c96bfdea1c8a152aa247bac548c","0.4","0.5","0.18232044198895028","0.21611005669788105","0.2278749378878032"
"blooming-sweep-264","yaleb","salt_and_pepper","l1_robust","2780b05d990610444b803189b9d02da895ee9c96bfdea1c8a152aa247bac548c","0.4","0.5","0.18554327808471455","0.21461320384773733","0.22616382390804224"
"rural-sweep-263","yaleb","salt_and_pepper","l1_robust","2780b05d990610444b803189b9d02da895ee9c96bfdea1c8a152aa247bac548c","0.4","0.5","0.19613259668508287","0.21460533374727295","0.2346275981181201"
"apricot-sweep-262","yaleb","salt_and_pepper","l1_robust","2780b05d990610444b803189b9d02da895ee9c96bfdea1c8a152aa247bac548c","0.4","0.5","0.18093922651933703","0.21259580607609177","0.23326682747573063"
"worthy-sweep-261","yaleb","salt_and_pepper","l1_robust","2780b05d990610444b803189b9d02da895ee9c96bfdea1c8a152aa247bac548c","0.4","0.5","0.1777163904235727","0.21671686223817777","0.20661695633105093"
